ID;Acari;Agapetus;Allogamus;Ancylus_fluviatilis;Anthomyiidae;Apatania;Asellus;Atherix;Atrichops_crassipes;Baetis;Blepharicera;Boyeria_irene;Bythinella;Caenis;Calopteryx;Cecidomyiidae;Ceraclea_Homilia;Ceratopogoninae;Chalcolestes_viridis;Chimarra;Chironomini;Clinocerinae;Copelatus;Corixinae;Cyphon;Dashyheleinae;Dupophilos;Echinogammarus;Elmis;Ephemera;Ephemerella;Esolus;Eubria;Gyraulus;Habroleptoides;Habrophlebia;Hemerodromiinae;Heptagenidae;Hexatomiini;Holocentropus;Hydraena;Hydrocyphon;Hydrometra;Hydropsyche;Hydroptilidae;Hyporhyacophila;Isogenus_nubecula;Lepidostoma_hirtum;Leptophlebiidae;Leuctra;Limnius;Limoniini;Liponeura;Lymnaea;Macroplea;Marthamea;Mesovelia;Metalype_fragilis;Micrasema;Mystacides;Neureclepsis;Normandia;Oecetis;Ophiogomphus;Orectochilus;Orthocladiinae;Oulimnius;Pacifastacus_lenisculus;Pararhyacophila;Pediciini;Perla;Philopotamus;Physa;Pisidium;Plectrocnemia;Polycentropus;Potamopyrgus_antipodarum;Procloeon;Prodiamesinae;Prosimullini;Psychodidae;Psychomya_pusilla;Radix;Rhagionidae;Rhyacophila;Sericostoma;Silo_Lithax;Simullini;Siphonoperla;Sphaerium;Stenelmis;Tabanidae;Tanypodinae;Tanytarsini;Tipulidae;Boreobdella;Dugesia;Glossiphonia;Haementeria;Haemopis;Oligochaeta;Polycelis
Kadagua_Control-Down_1;22;0;0;4;0;0;1;0;0;73;0;0;0;44;0;0;0;1;0;0;2;0;0;0;0;0;0;3;0;0;4;10;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;0;0;27;0;15;0;1;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;1;1;0;3;17;0;0;1;0;16;0;0;0;0;0;14;0;0;1;0;8;27;0;0;1;0;0;0;16;0
Kadagua_Control-Down_2;32;0;0;11;0;0;0;0;0;208;0;0;0;39;0;0;0;0;0;0;8;2;0;0;0;0;0;2;0;0;7;17;0;1;0;0;1;2;0;0;0;0;0;47;0;0;0;0;0;19;1;8;0;0;0;0;0;0;0;0;0;1;0;0;0;55;4;0;0;0;0;0;0;8;0;1;29;0;0;0;0;39;1;0;0;0;0;19;0;0;3;0;5;75;0;0;0;0;0;0;6;0
Kadagua_Control-Down_3;43;0;0;7;0;0;0;0;0;50;0;0;0;82;0;0;0;0;0;0;11;0;0;0;0;0;0;2;0;0;2;11;0;0;3;0;0;0;0;0;0;0;0;31;6;0;0;0;0;28;2;33;0;0;0;0;0;1;0;1;0;0;0;0;0;38;2;0;0;0;0;0;0;4;0;0;23;0;0;0;0;24;1;0;0;0;0;6;0;0;3;0;1;33;0;0;0;1;0;0;11;0
Kadagua_Control-Mid_1;60;0;0;21;0;0;2;0;0;100;0;0;0;49;0;0;1;0;0;0;26;1;0;0;0;0;0;2;0;0;3;52;0;0;5;0;0;3;0;0;0;0;0;39;1;0;0;0;0;55;6;29;0;0;0;0;0;0;0;0;0;0;0;0;0;59;9;0;0;0;0;0;0;15;0;1;44;0;0;0;0;52;0;0;1;0;0;18;0;0;54;0;4;39;0;0;2;0;0;0;17;0
Kadagua_Control-Mid_2;17;0;0;1;0;0;0;0;0;136;0;0;0;19;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;4;0;0;0;0;0;19;0;0;0;0;0;10;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;0;0;0;0;0;1;0;0;9;0;0;0;0;6;0;0;2;0;0;19;0;0;10;0;1;7;0;0;0;0;0;0;2;0
Kadagua_Control-Mid_3;10;0;0;3;0;0;2;0;0;101;0;0;0;18;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;30;0;0;0;0;0;0;0;1;0;0;0;33;0;0;0;0;0;44;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;37;3;0;1;0;0;0;0;2;0;0;4;0;0;0;0;9;0;0;0;0;0;42;0;0;11;0;1;9;0;0;2;0;0;0;3;0
Kadagua_Control-Up_1;15;0;0;20;0;0;1;0;0;341;0;0;0;6;0;0;0;0;0;0;9;0;0;0;0;0;0;2;0;0;4;25;0;0;0;0;0;1;0;0;0;0;0;145;0;2;0;0;0;50;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;111;2;0;0;0;0;0;0;4;0;0;14;0;0;0;0;5;0;0;4;0;0;680;0;0;29;0;0;17;0;0;0;0;0;0;15;0
Kadagua_Control-Up_2;8;0;0;6;0;0;0;0;0;142;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;2;0;0;0;0;0;65;0;0;0;0;0;21;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;1;0;0;0;0;2;0;0;12;0;0;0;0;4;0;0;0;0;0;66;0;0;10;0;1;9;0;0;0;0;0;0;4;0
Kadagua_Control-Up_3;19;0;0;9;0;0;1;0;0;108;0;0;0;38;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;6;16;0;0;0;1;0;2;0;0;0;0;0;29;1;0;0;0;0;35;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;29;2;0;0;0;0;0;0;9;0;8;12;0;2;0;0;15;0;0;0;0;0;11;0;0;36;0;5;23;0;0;1;0;0;1;8;0
Kadagua_Impact-Down_1;22;0;0;5;0;0;0;0;0;47;0;0;0;32;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;1;0;1;40;2;0;0;0;0;35;1;14;0;0;0;0;0;1;0;0;0;0;0;0;0;19;1;0;0;0;0;0;0;4;0;4;21;0;0;0;0;21;0;0;1;0;0;0;0;0;8;0;4;41;0;0;0;0;0;0;6;0
